#OTU ID	Control_1	Control_2	Control_3	NEFO_1	NEFO_2	NEFO_3	NEFO_RS_1	NEFO_RS_2	NEFO_RS_3	NEO_1	NEO_2	NEO_3
OTU270	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
OTU271	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
OTU272	8.0	2.0	1.0	0.0	2.0	8.0	49.0	1.0	21.0	1.0	0.0	3.0
OTU273	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
OTU274	0.0	2.0	0.0	1.0	0.0	0.0	6.0	4.0	0.0	0.0	0.0	1.0
OTU275	4.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU276	10.0	39.0	0.0	1.0	1.0	0.0	10.0	5.0	32.0	0.0	0.0	0.0
OTU277	1.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	11.0
OTU278	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
OTU279	1.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU28	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0
OTU280	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
OTU281	0.0	0.0	1.0	14.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
OTU282	3.0	0.0	1.0	36.0	2.0	0.0	48.0	1.0	7.0	0.0	0.0	0.0
OTU283	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
OTU284	0.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	14.0	0.0	0.0	0.0
OTU285	4.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
OTU286	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
OTU287	1.0	6.0	8.0	10.0	3.0	10.0	2.0	4.0	1.0	6.0	0.0	9.0
OTU288	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0
OTU289	0.0	0.0	1.0	1.0	1.0	3.0	0.0	0.0	0.0	0.0	2.0	5.0
OTU29	9.0	35.0	15.0	6.0	1.0	7.0	1.0	17.0	3.0	7.0	0.0	57.0
OTU290	1.0	1.0	3.0	9.0	8.0	9.0	5.0	2.0	4.0	0.0	0.0	0.0
OTU291	13.0	6.0	2.0	11.0	5.0	10.0	6.0	3.0	2.0	5.0	1.0	9.0
OTU292	1.0	2.0	0.0	3.0	1.0	0.0	3.0	14.0	0.0	4.0	0.0	1.0
OTU293	0.0	0.0	3.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	13.0
OTU294	0.0	6.0	0.0	21.0	0.0	1.0	9.0	65.0	24.0	15.0	0.0	6.0
OTU295	0.0	0.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0
OTU296	0.0	7.0	1.0	1.0	1.0	0.0	0.0	24.0	5.0	8.0	1.0	0.0
OTU297	2.0	2.0	5.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0
OTU298	0.0	1.0	0.0	1.0	15.0	0.0	6.0	0.0	78.0	0.0	8.0	0.0
OTU299	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	2.0	1.0	2.0	0.0
OTU3	3.0	5.0	15.0	11.0	111.0	6.0	7.0	5.0	13.0	3.0	0.0	3.0
OTU30	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU300	20.0	8.0	103.0	6.0	2.0	21.0	0.0	5.0	0.0	0.0	1.0	0.0
OTU301	19.0	79.0	18.0	38.0	6.0	119.0	41.0	57.0	45.0	61.0	9.0	68.0
OTU302	0.0	4.0	9.0	16.0	8.0	22.0	3.0	1.0	2.0	2.0	1.0	30.0
OTU303	2.0	11.0	2.0	2.0	4.0	35.0	4.0	64.0	21.0	49.0	2.0	50.0
OTU304	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	2.0
OTU305	0.0	2.0	7.0	148.0	8.0	24.0	5.0	30.0	5.0	4.0	0.0	23.0
OTU306	2.0	0.0	11.0	4.0	14.0	0.0	5.0	4.0	9.0	0.0	0.0	4.0
OTU307	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
OTU308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
OTU309	0.0	1.0	3.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	5.0
OTU31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
OTU310	0.0	0.0	1.0	3.0	1.0	25.0	2056.0	801.0	39.0	3.0	0.0	2.0
OTU311	1.0	0.0	12.0	1.0	0.0	0.0	2.0	0.0	0.0	5.0	0.0	0.0
OTU312	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU313	0.0	0.0	2.0	1.0	0.0	5.0	0.0	0.0	0.0	5.0	0.0	40.0
OTU314	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
OTU315	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0
OTU317	15.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU318	0.0	0.0	0.0	0.0	0.0	2.0	1.0	23.0	0.0	0.0	1.0	10.0
OTU319	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
OTU32	81.0	107.0	328.0	185.0	359.0	200.0	9.0	88.0	187.0	200.0	154.0	116.0
OTU320	1.0	2.0	11.0	0.0	1.0	8.0	11.0	0.0	1.0	0.0	0.0	1.0
OTU321	0.0	0.0	3.0	2.0	2.0	1.0	2.0	0.0	1.0	0.0	0.0	3.0
OTU322	6.0	0.0	0.0	1.0	3.0	0.0	0.0	3.0	6.0	4.0	2.0	4.0
OTU323	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
OTU325	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
OTU326	2.0	0.0	0.0	0.0	0.0	3.0	67.0	1.0	0.0	0.0	0.0	9.0
OTU327	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
OTU328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.0	33.0	121.0	72.0	0.0
OTU329	25.0	1.0	3.0	6.0	0.0	5.0	6.0	9.0	1.0	4.0	0.0	6.0
OTU33	2.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU330	14.0	5.0	10.0	6.0	14.0	1.0	2.0	13.0	8.0	17.0	3.0	0.0
OTU331	4.0	3.0	17.0	1.0	0.0	22.0	18.0	3.0	6.0	2.0	1.0	51.0
OTU332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0
OTU333	2.0	0.0	0.0	2.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0
OTU334	16.0	0.0	26.0	13.0	11.0	3.0	3.0	1.0	3.0	15.0	3.0	12.0
OTU335	7.0	8.0	5.0	7.0	0.0	3.0	9.0	1.0	9.0	6.0	6.0	5.0
OTU336	0.0	2.0	3.0	1.0	4.0	4.0	3.0	1.0	1.0	0.0	0.0	9.0
OTU337	2.0	2.0	0.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	0.0	0.0
OTU338	4.0	9.0	12.0	2.0	3.0	0.0	0.0	4.0	13.0	0.0	0.0	0.0
OTU339	0.0	5.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	0.0	0.0	3.0
OTU34	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU340	1.0	0.0	0.0	2.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0
OTU341	1.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	4.0
OTU342	0.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
OTU343	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	3.0	1.0	0.0
OTU344	0.0	0.0	38.0	21.0	8.0	25.0	36.0	25.0	12.0	17.0	2.0	7.0
OTU345	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
OTU346	3.0	0.0	0.0	1.0	44.0	0.0	7.0	0.0	5.0	0.0	0.0	0.0
OTU347	42.0	20.0	24.0	12.0	12.0	7.0	11.0	24.0	25.0	16.0	6.0	31.0
OTU348	4.0	23.0	10.0	26.0	0.0	0.0	1295.0	1612.0	9718.0	1.0	0.0	3.0
OTU349	0.0	1.0	0.0	0.0	0.0	1.0	4.0	1.0	0.0	0.0	0.0	1.0
OTU35	113.0	13.0	13.0	16.0	58.0	19.0	31.0	11.0	4.0	53.0	5.0	4.0
OTU350	0.0	1.0	0.0	0.0	0.0	1.0	6.0	1.0	0.0	2.0	0.0	0.0
OTU351	4.0	0.0	0.0	1.0	3.0	6.0	0.0	0.0	1.0	0.0	0.0	0.0
OTU352	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0
OTU353	1.0	0.0	3.0	0.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0
OTU354	18.0	2.0	3.0	4.0	8.0	8.0	2.0	10.0	21.0	17.0	15.0	5.0
OTU355	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	1.0	0.0	0.0
OTU356	0.0	1.0	0.0	0.0	1.0	6.0	5.0	1.0	0.0	0.0	0.0	6.0
OTU357	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0
OTU358	1.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0
OTU359	5.0	1.0	1.0	0.0	4.0	2.0	2.0	1.0	2.0	0.0	0.0	22.0
OTU36	2.0	0.0	5.0	1.0	97.0	3.0	0.0	0.0	2.0	1.0	0.0	0.0
OTU360	0.0	0.0	1.0	1.0	2.0	1.0	46.0	0.0	4.0	1.0	0.0	2.0
OTU361	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	6.0
OTU362	13.0	4.0	2.0	3.0	1.0	2.0	2.0	2.0	8.0	9.0	2.0	4.0
